,aic,param
0,29202.401090095675,"((2, 1, 2), (2, 1, 1, 7))"
1,29203.451216684563,"((1, 1, 1), (1, 1, 2, 7))"
2,29204.192487433917,"((2, 1, 2), (0, 1, 2, 7))"
3,29207.334646548232,"((2, 1, 2), (1, 1, 1, 7))"
4,29207.64418589099,"((1, 1, 1), (1, 1, 1, 7))"
5,29207.94525015981,"((1, 1, 1), (0, 1, 2, 7))"
